city,imgUrl,item0,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11,item12,item13
包头市,map0.png,铁矿,金矿,稀土矿,芒硝矿,石墨矿,,,,,,,,,
锡林郭勒盟,map0.png,铁矿,铜矿,铅锌矿,钨矿,钼矿,银矿,普通萤石,芒硝矿,天然碱矿,锗矿,盐矿,煤炭,锡矿,硫铁矿
巴彦淖尔市,map0.png,铁矿,铜矿,铅锌矿,钼矿,金矿,石墨矿,硫铁矿,,,,,,,
赤峰市,map0.png,铁矿,铜矿,钨矿,银矿,高岭土矿,锡矿,,,,,,,,
呼伦贝尔市,map0.png,铜矿,铅锌矿,钨矿,钼矿,银矿,芒硝矿,天然碱矿,煤炭,,,,,,
乌兰察布市,map0.png,铜矿,钼矿,稀土矿,普通萤石,石墨矿,石膏矿,,,,,,,,
阿拉善盟,map0.png,金矿,芒硝矿,石墨矿,石膏矿,高岭土矿,盐矿,,,,,,,,
通辽市,map0.png,稀土矿,高岭土矿,水泥用灰岩,,,,,,,,,,,
鄂尔多斯市,map0.png,芒硝矿,天然碱矿,石墨矿,石膏矿,高岭土矿,盐矿,煤炭,水泥用灰岩,,,,,,
呼和浩特市,map0.png,石墨矿,高岭土矿,水泥用灰岩,,,,,,,,,,,
乌海市,map0.png,高岭土矿,水泥用灰岩,,,,,,,,,,,,
兴安盟,map0.png,,,,,,,,,,,,,,
